ApsimVersion = 7.7
Title = kl_Fork82
           Date           rain             es    sw(6-10)(1)    sw(6-10)(2)    sw(6-10)(3)    sw(6-10)(4)    sw(6-10)(5)    cover_green     root_depth   rlv(6-10)(1)   rlv(6-10)(2)   rlv(6-10)(3)   rlv(6-10)(4)   rlv(6-10)(5)             ep      pet_total     irrigation   dul(6-10)(1)   dul(6-10)(2)   dul(6-10)(3)   dul(6-10)(4)   dul(6-10)(5)  ll15(6-10)(1)  ll15(6-10)(2)  ll15(6-10)(3)  ll15(6-10)(4)  ll15(6-10)(5)
   (dd/mm/yyyy)           (mm)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)             ()           (mm)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)           (mm)       (mm/day)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)
     01/06/2009          0.000          0.583          0.046          0.046          0.046          0.046          0.046          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     02/06/2009          0.000          0.943          0.045          0.046          0.046          0.046          0.046          0.000        100.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     03/06/2009          0.000          1.370          0.045          0.045          0.046          0.046          0.046          0.000        104.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     04/06/2009          0.000          2.270          0.045          0.045          0.046          0.046          0.046          0.000        108.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     05/06/2009          0.000          2.234          0.044          0.045          0.046          0.046          0.046          0.025        112.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     06/06/2009          0.000          2.189          0.044          0.044          0.045          0.045          0.046          0.032        128.000          0.000          0.000          0.000          0.000          0.000          0.111          0.111          2.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     07/06/2009          0.000          3.131          0.043          0.044          0.045          0.045          0.046          0.041        144.000          0.000          0.000          0.000          0.000          0.000          0.144          0.144          3.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     08/06/2009          0.000          3.117          0.043          0.044          0.045          0.045          0.046          0.053        160.000          0.000          0.000          0.000          0.000          0.000          0.188          0.188          3.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     09/06/2009          0.000          4.067          0.043          0.043          0.045          0.045          0.046          0.068        176.000          0.000          0.000          0.000          0.000          0.000          0.245          0.245          4.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     10/06/2009          0.000          4.063          0.042          0.043          0.045          0.045          0.045          0.087        192.000          0.000          0.000          0.000          0.000          0.000          0.319          0.319          4.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     11/06/2009          0.000          4.051          0.042          0.042          0.044          0.045          0.045          0.110        208.000          0.000          0.000          0.000          0.000          0.000          0.414          0.414          4.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     12/06/2009          0.000          4.986          0.041          0.042          0.044          0.044          0.045          0.139        224.000          0.001          0.000          0.000          0.000          0.000          0.534          0.534          5.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     13/06/2009          0.000          5.179          0.041          0.042          0.044          0.044          0.045          0.174        240.000          0.002          0.000          0.000          0.000          0.000          0.686          0.686          6.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     14/06/2009          0.000          4.865          0.040          0.041          0.044          0.044          0.045          0.215        256.000          0.003          0.000          0.000          0.000          0.000          0.874          0.874          6.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     15/06/2009          0.000          4.516          0.038          0.040          0.043          0.044          0.045          0.264        272.000          0.004          0.000          0.000          0.000          0.000          1.101          1.101          5.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     16/06/2009          0.000          4.141          0.037          0.039          0.043          0.044          0.045          0.313        288.000          0.006          0.000          0.000          0.000          0.000          1.370          1.370          6.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     17/06/2009          0.000          3.790          0.035          0.039          0.043          0.043          0.045          0.361        304.000          0.008          0.000          0.000          0.000          0.000          1.646          1.646          6.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     18/06/2009          0.000          3.477          0.033          0.038          0.043          0.043          0.044          0.401        320.000          0.010          0.000          0.000          0.000          0.000          1.917          1.917          5.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
     19/06/2009          0.000          3.239          0.032          0.037          0.042          0.043          0.044          0.440        336.000          0.012          0.000          0.000          0.000          0.000          2.140          2.140          6.000          0.046          0.046          0.046          0.046          0.046          0.014          0.014          0.014          0.014          0.014
