ApsimVersion = 7.7
Title = kl_Otorohanga57
Date,rain,es,sw(6-10)(1),sw(6-10)(2),sw(6-10)(3),sw(6-10)(4),sw(6-10)(5),cover_green,root_depth,rlv(6-10)(1),rlv(6-10)(2),rlv(6-10)(3),rlv(6-10)(4),rlv(6-10)(5),ep,pet_total,irrigation,dul(6-10)(1),dul(6-10)(2),dul(6-10)(3),dul(6-10)(4),dul(6-10)(5),ll15(6-10)(1),ll15(6-10)(2),ll15(6-10)(3),ll15(6-10)(4),ll15(6-10)(5),
(dd/mm/yyyy),(mm),(mm),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(),(mm),(mm/mm^3),(mm/mm^3),(mm/mm^3),(mm/mm^3),(mm/mm^3),(mm),(mm/day),(mm),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),
01/06/2009,0.000,0.584,0.508,0.508,0.508,0.508,0.508,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
02/06/2009,0.000,5.949,0.508,0.508,0.508,0.508,0.508,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
03/06/2009,0.000,6.539,0.507,0.508,0.508,0.508,0.508,0.000,104.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
04/06/2009,0.000,6.630,0.506,0.507,0.508,0.508,0.508,0.000,108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
05/06/2009,0.000,6.638,0.505,0.507,0.508,0.508,0.508,0.025,112.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
06/06/2009,0.000,6.350,0.505,0.506,0.508,0.508,0.508,0.032,128.000,0.000,0.000,0.000,0.000,0.000,0.111,0.111,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
07/06/2009,0.000,6.271,0.504,0.505,0.508,0.508,0.508,0.041,144.000,0.000,0.000,0.000,0.000,0.000,0.144,0.144,7.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
08/06/2009,0.000,6.168,0.503,0.505,0.507,0.508,0.508,0.053,160.000,0.000,0.000,0.000,0.000,0.000,0.188,0.188,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
09/06/2009,0.000,6.040,0.502,0.504,0.507,0.507,0.508,0.068,176.000,0.000,0.000,0.000,0.000,0.000,0.245,0.245,7.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
10/06/2009,0.000,5.880,0.502,0.503,0.507,0.507,0.508,0.087,192.000,0.000,0.000,0.000,0.000,0.000,0.319,0.319,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
11/06/2009,0.000,5.687,0.501,0.503,0.507,0.507,0.508,0.110,208.000,0.000,0.000,0.000,0.000,0.000,0.414,0.414,7.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
12/06/2009,0.000,5.453,0.500,0.502,0.506,0.507,0.508,0.139,224.000,0.001,0.000,0.000,0.000,0.000,0.534,0.534,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
13/06/2009,0.000,5.179,0.500,0.502,0.506,0.507,0.508,0.174,240.000,0.002,0.000,0.000,0.000,0.000,0.686,0.686,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
14/06/2009,0.000,4.866,0.499,0.501,0.506,0.507,0.508,0.215,256.000,0.003,0.000,0.000,0.000,0.000,0.874,0.874,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
15/06/2009,0.000,4.517,0.498,0.500,0.506,0.506,0.508,0.264,272.000,0.004,0.000,0.000,0.000,0.000,1.101,1.101,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
16/06/2009,0.000,4.141,0.497,0.500,0.505,0.506,0.507,0.319,288.000,0.006,0.000,0.000,0.000,0.000,1.370,1.370,5.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
17/06/2009,0.000,3.752,0.495,0.499,0.505,0.506,0.507,0.379,304.000,0.008,0.000,0.000,0.000,0.000,1.678,1.678,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
18/06/2009,0.000,3.365,0.493,0.497,0.505,0.506,0.507,0.434,320.000,0.010,0.000,0.000,0.000,0.000,2.020,2.020,5.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
19/06/2009,0.000,3.052,0.492,0.496,0.504,0.505,0.507,0.478,336.000,0.012,0.000,0.000,0.000,0.000,2.329,2.329,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
20/06/2009,0.000,2.820,0.490,0.495,0.504,0.505,0.507,0.514,352.000,0.014,0.000,0.000,0.000,0.000,2.498,2.498,5.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
21/06/2009,0.000,2.644,0.489,0.494,0.503,0.505,0.507,0.545,368.000,0.015,0.001,0.000,0.000,0.000,2.618,2.618,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
22/06/2009,0.000,2.501,0.488,0.492,0.503,0.504,0.507,0.572,384.000,0.016,0.001,0.000,0.000,0.000,2.731,2.731,5.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
23/06/2009,0.000,2.380,0.487,0.491,0.502,0.504,0.507,0.597,400.000,0.016,0.001,0.000,0.000,0.000,2.837,2.837,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
24/06/2009,0.000,2.275,0.487,0.490,0.502,0.503,0.506,0.621,416.000,0.017,0.002,0.000,0.000,0.000,2.937,2.937,5.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
25/06/2009,0.000,2.182,0.486,0.490,0.502,0.503,0.506,0.642,432.000,0.017,0.002,0.000,0.000,0.000,3.032,3.032,5.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
26/06/2009,0.000,2.099,0.486,0.489,0.501,0.503,0.506,0.662,448.000,0.018,0.002,0.000,0.000,0.000,3.123,3.123,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
27/06/2009,0.000,2.025,0.486,0.489,0.501,0.502,0.506,0.681,464.000,0.019,0.002,0.000,0.000,0.000,3.208,3.208,5.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
28/06/2009,0.000,1.957,0.486,0.488,0.500,0.502,0.506,0.699,480.000,0.019,0.002,0.000,0.000,0.000,3.290,3.290,5.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
29/06/2009,0.000,1.896,0.486,0.488,0.500,0.501,0.506,0.716,496.000,0.020,0.003,0.000,0.000,0.000,3.368,3.368,5.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
30/06/2009,0.000,1.840,0.486,0.488,0.499,0.501,0.505,0.731,512.000,0.020,0.003,0.000,0.000,0.000,3.442,3.442,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
01/07/2009,0.000,1.788,0.485,0.487,0.499,0.501,0.505,0.746,528.000,0.021,0.003,0.001,0.000,0.000,3.513,3.513,5.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
02/07/2009,0.000,1.741,0.486,0.487,0.499,0.500,0.505,0.760,544.000,0.021,0.003,0.001,0.000,0.000,3.580,3.580,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
03/07/2009,0.000,1.698,0.486,0.487,0.498,0.500,0.505,0.774,560.000,0.021,0.003,0.001,0.000,0.000,3.664,3.664,5.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
04/07/2009,0.000,1.658,0.486,0.487,0.498,0.500,0.504,0.786,576.000,0.022,0.004,0.001,0.000,0.000,3.751,3.751,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
05/07/2009,0.000,1.620,0.486,0.487,0.498,0.499,0.504,0.798,592.000,0.022,0.004,0.001,0.000,0.000,3.835,3.835,5.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
06/07/2009,0.000,1.586,0.486,0.487,0.497,0.499,0.504,0.809,608.000,0.023,0.004,0.001,0.000,0.000,3.915,3.915,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
07/07/2009,0.000,1.555,0.486,0.487,0.497,0.499,0.504,0.820,624.000,0.023,0.004,0.001,0.000,0.000,3.991,3.991,5.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
08/07/2009,0.000,1.526,0.486,0.487,0.497,0.498,0.504,0.829,640.000,0.024,0.004,0.002,0.000,0.000,4.063,4.063,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
09/07/2009,0.000,1.500,0.486,0.487,0.496,0.498,0.503,0.838,656.000,0.024,0.004,0.002,0.001,0.000,4.130,4.130,5.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
10/07/2009,0.000,1.475,0.486,0.487,0.496,0.498,0.503,0.847,672.000,0.025,0.005,0.002,0.001,0.000,4.194,4.194,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
11/07/2009,0.000,1.453,0.486,0.487,0.496,0.497,0.503,0.855,688.000,0.025,0.005,0.002,0.001,0.000,4.255,4.255,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
12/07/2009,0.000,1.432,0.486,0.487,0.495,0.497,0.503,0.863,704.000,0.025,0.005,0.002,0.001,0.000,4.313,4.313,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
13/07/2009,0.000,1.412,0.486,0.487,0.495,0.497,0.503,0.870,720.000,0.026,0.005,0.002,0.001,0.000,4.367,4.367,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
14/07/2009,0.000,1.394,0.486,0.487,0.495,0.496,0.502,0.877,736.000,0.026,0.005,0.002,0.001,0.000,4.419,4.419,5.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
15/07/2009,0.000,1.378,0.486,0.487,0.495,0.496,0.502,0.883,752.000,0.027,0.006,0.003,0.001,0.000,4.468,4.468,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
16/07/2009,0.000,1.362,0.486,0.487,0.494,0.496,0.502,0.889,768.000,0.028,0.006,0.003,0.002,0.000,4.515,4.515,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
17/07/2009,0.000,1.348,0.486,0.487,0.494,0.496,0.502,0.894,784.000,0.028,0.006,0.003,0.002,0.001,4.560,4.560,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
18/07/2009,0.000,1.334,0.487,0.487,0.494,0.495,0.501,0.900,800.000,0.029,0.006,0.003,0.002,0.001,4.602,4.602,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
19/07/2009,0.000,1.321,0.487,0.487,0.494,0.495,0.501,0.905,816.000,0.030,0.006,0.003,0.002,0.001,4.642,4.642,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
20/07/2009,0.000,1.309,0.487,0.487,0.493,0.495,0.501,0.910,832.000,0.031,0.007,0.003,0.002,0.001,4.680,4.680,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
21/07/2009,0.000,1.298,0.487,0.487,0.493,0.495,0.501,0.914,848.000,0.032,0.007,0.004,0.002,0.001,4.716,4.716,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
22/07/2009,0.000,1.288,0.487,0.487,0.493,0.494,0.501,0.918,864.000,0.033,0.007,0.004,0.002,0.001,4.751,4.751,7.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
23/07/2009,0.000,1.278,0.487,0.487,0.493,0.494,0.500,0.922,880.000,0.034,0.007,0.004,0.002,0.001,4.783,4.783,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
24/07/2009,0.000,1.268,0.488,0.487,0.493,0.494,0.500,0.926,896.000,0.035,0.007,0.004,0.003,0.001,4.815,4.815,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
25/07/2009,0.000,1.260,0.488,0.487,0.492,0.494,0.500,0.930,912.000,0.037,0.007,0.004,0.003,0.002,4.844,4.844,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
26/07/2009,0.000,1.251,0.488,0.487,0.492,0.493,0.500,0.933,928.000,0.038,0.008,0.004,0.003,0.002,4.872,4.872,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
27/07/2009,0.000,1.244,0.488,0.488,0.492,0.493,0.499,0.937,944.000,0.040,0.008,0.004,0.003,0.002,4.899,4.899,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
28/07/2009,0.000,1.236,0.488,0.488,0.492,0.493,0.499,0.940,960.000,0.041,0.008,0.005,0.003,0.002,4.925,4.925,7.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
29/07/2009,0.000,1.230,0.488,0.488,0.492,0.493,0.499,0.943,976.000,0.043,0.008,0.005,0.003,0.002,4.949,4.949,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
30/07/2009,0.000,1.223,0.489,0.488,0.492,0.493,0.499,0.945,992.000,0.045,0.008,0.005,0.003,0.002,4.972,4.972,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
31/07/2009,0.000,1.217,0.489,0.488,0.491,0.492,0.498,0.948,1008.000,0.047,0.009,0.005,0.004,0.002,4.994,4.994,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
01/08/2009,0.000,1.211,0.489,0.488,0.491,0.492,0.498,0.951,1024.000,0.049,0.009,0.005,0.004,0.002,5.015,5.015,7.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
02/08/2009,0.000,1.206,0.489,0.488,0.491,0.492,0.498,0.953,1040.000,0.051,0.009,0.005,0.004,0.003,5.035,5.035,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
03/08/2009,0.000,1.201,0.489,0.488,0.491,0.492,0.498,0.955,1056.000,0.054,0.009,0.005,0.004,0.003,5.054,5.054,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
04/08/2009,0.000,1.196,0.489,0.488,0.491,0.492,0.498,0.957,1072.000,0.056,0.009,0.006,0.004,0.003,5.072,5.072,7.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
05/08/2009,0.000,1.191,0.489,0.488,0.491,0.492,0.497,0.959,1088.000,0.059,0.009,0.006,0.004,0.003,5.090,5.090,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
06/08/2009,0.000,1.187,0.489,0.488,0.491,0.492,0.497,0.961,1104.000,0.062,0.010,0.006,0.004,0.003,5.106,5.106,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
07/08/2009,0.000,1.183,0.489,0.489,0.491,0.491,0.497,0.963,1120.000,0.065,0.010,0.006,0.004,0.003,5.122,5.122,7.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
08/08/2009,0.000,1.179,0.490,0.489,0.491,0.491,0.497,0.965,1136.000,0.068,0.010,0.006,0.005,0.003,5.137,5.137,6.000,0.508,0.508,0.508,0.508,0.508,0.280,0.280,0.280,0.280,0.280,
