ApsimVersion = 7.7
Title = kl_Rangitata672
Date,rain,es,sw(6-10)(1),sw(6-10)(2),sw(6-10)(3),sw(6-10)(4),sw(6-10)(5),cover_green,root_depth,rlv(6-10)(1),rlv(6-10)(2),rlv(6-10)(3),rlv(6-10)(4),rlv(6-10)(5),ep,pet_total,irrigation,dul(6-10)(1),dul(6-10)(2),dul(6-10)(3),dul(6-10)(4),dul(6-10)(5),ll15(6-10)(1),ll15(6-10)(2),ll15(6-10)(3),ll15(6-10)(4),ll15(6-10)(5),
(dd/mm/yyyy),(mm),(mm),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(),(mm),(mm/mm^3),(mm/mm^3),(mm/mm^3),(mm/mm^3),(mm/mm^3),(mm),(mm/day),(mm),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),
01/06/2009,0.000,0.583,0.029,0.029,0.029,0.029,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.029,0.029,0.029,0.029,0.007,0.007,0.007,0.007,0.007,
02/06/2009,0.000,0.565,0.028,0.029,0.029,0.029,0.029,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.029,0.029,0.029,0.029,0.007,0.007,0.007,0.007,0.007,
03/06/2009,0.000,0.267,0.028,0.028,0.029,0.029,0.029,0.000,104.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.029,0.029,0.029,0.029,0.007,0.007,0.007,0.007,0.007,
04/06/2009,0.000,0.210,0.028,0.028,0.029,0.029,0.029,0.000,108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.029,0.029,0.029,0.029,0.007,0.007,0.007,0.007,0.007,
05/06/2009,0.000,2.157,0.027,0.028,0.028,0.029,0.029,0.025,112.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.029,0.029,0.029,0.029,0.029,0.007,0.007,0.007,0.007,0.007,
06/06/2009,0.000,2.126,0.027,0.027,0.028,0.028,0.029,0.032,128.000,0.000,0.000,0.000,0.000,0.000,0.111,0.111,2.000,0.029,0.029,0.029,0.029,0.029,0.007,0.007,0.007,0.007,0.007,
07/06/2009,0.000,2.102,0.027,0.027,0.028,0.028,0.029,0.041,144.000,0.000,0.000,0.000,0.000,0.000,0.144,0.144,2.000,0.029,0.029,0.029,0.029,0.029,0.007,0.007,0.007,0.007,0.007,
08/06/2009,0.000,2.084,0.026,0.027,0.028,0.028,0.029,0.053,160.000,0.000,0.000,0.000,0.000,0.000,0.188,0.188,2.000,0.029,0.029,0.029,0.029,0.029,0.007,0.007,0.007,0.007,0.007,
09/06/2009,0.000,3.053,0.026,0.027,0.028,0.028,0.028,0.068,176.000,0.000,0.000,0.000,0.000,0.000,0.245,0.245,3.000,0.029,0.029,0.029,0.029,0.029,0.007,0.007,0.007,0.007,0.007,
10/06/2009,0.000,3.047,0.026,0.026,0.028,0.028,0.028,0.087,192.000,0.000,0.000,0.000,0.000,0.000,0.319,0.319,3.000,0.029,0.029,0.029,0.029,0.029,0.007,0.007,0.007,0.007,0.007,
11/06/2009,0.000,4.020,0.025,0.026,0.027,0.028,0.028,0.110,208.000,0.000,0.000,0.000,0.000,0.000,0.414,0.414,4.000,0.029,0.029,0.029,0.029,0.029,0.007,0.007,0.007,0.007,0.007,
