ApsimVersion = 7.7
Title = kl_Taupo97
Date,rain,es,sw(6-10)(1),sw(6-10)(2),sw(6-10)(3),sw(6-10)(4),sw(6-10)(5),cover_green,root_depth,rlv(6-10)(1),rlv(6-10)(2),rlv(6-10)(3),rlv(6-10)(4),rlv(6-10)(5),ep,pet_total,irrigation,dul(6-10)(1),dul(6-10)(2),dul(6-10)(3),dul(6-10)(4),dul(6-10)(5),ll15(6-10)(1),ll15(6-10)(2),ll15(6-10)(3),ll15(6-10)(4),ll15(6-10)(5),
(dd/mm/yyyy),(mm),(mm),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(),(mm),(mm/mm^3),(mm/mm^3),(mm/mm^3),(mm/mm^3),(mm/mm^3),(mm),(mm/day),(mm),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),
01/06/2009,0.000,0.584,0.212,0.212,0.212,0.212,0.212,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
02/06/2009,0.000,3.779,0.212,0.212,0.212,0.212,0.212,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
03/06/2009,0.000,4.916,0.212,0.212,0.212,0.212,0.212,0.000,104.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
04/06/2009,0.000,5.683,0.211,0.212,0.212,0.212,0.212,0.000,108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
05/06/2009,0.000,6.353,0.211,0.211,0.212,0.212,0.212,0.025,112.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
06/06/2009,0.000,6.239,0.210,0.211,0.212,0.212,0.212,0.032,128.000,0.000,0.000,0.000,0.000,0.000,0.111,0.111,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
07/06/2009,0.000,6.268,0.210,0.211,0.212,0.212,0.212,0.041,144.000,0.000,0.000,0.000,0.000,0.000,0.144,0.144,7.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
08/06/2009,0.000,6.165,0.209,0.210,0.212,0.212,0.212,0.053,160.000,0.000,0.000,0.000,0.000,0.000,0.188,0.188,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
09/06/2009,0.000,6.040,0.208,0.210,0.212,0.212,0.212,0.068,176.000,0.000,0.000,0.000,0.000,0.000,0.245,0.245,7.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
10/06/2009,0.000,5.880,0.208,0.209,0.211,0.212,0.212,0.087,192.000,0.000,0.000,0.000,0.000,0.000,0.319,0.319,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
11/06/2009,0.000,5.686,0.207,0.209,0.211,0.212,0.212,0.110,208.000,0.000,0.000,0.000,0.000,0.000,0.414,0.414,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
12/06/2009,0.000,5.453,0.207,0.208,0.211,0.212,0.212,0.139,224.000,0.001,0.000,0.000,0.000,0.000,0.534,0.534,7.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
13/06/2009,0.000,5.179,0.206,0.208,0.211,0.211,0.212,0.174,240.000,0.002,0.000,0.000,0.000,0.000,0.686,0.686,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
14/06/2009,0.000,4.866,0.205,0.207,0.211,0.211,0.212,0.215,256.000,0.003,0.000,0.000,0.000,0.000,0.874,0.874,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
15/06/2009,0.000,4.516,0.204,0.206,0.211,0.211,0.212,0.264,272.000,0.004,0.000,0.000,0.000,0.000,1.101,1.101,5.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
16/06/2009,0.000,4.141,0.202,0.206,0.210,0.211,0.212,0.319,288.000,0.006,0.000,0.000,0.000,0.000,1.370,1.370,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
17/06/2009,0.000,3.752,0.200,0.204,0.210,0.211,0.212,0.379,304.000,0.008,0.000,0.000,0.000,0.000,1.678,1.678,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
18/06/2009,0.000,3.365,0.198,0.203,0.210,0.211,0.212,0.434,320.000,0.010,0.000,0.000,0.000,0.000,2.020,2.020,5.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
19/06/2009,0.000,3.052,0.196,0.202,0.210,0.210,0.212,0.478,336.000,0.012,0.000,0.000,0.000,0.000,2.329,2.329,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
20/06/2009,0.000,2.820,0.194,0.200,0.209,0.210,0.212,0.514,352.000,0.014,0.000,0.000,0.000,0.000,2.498,2.498,5.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
21/06/2009,0.000,2.644,0.192,0.199,0.209,0.210,0.211,0.545,368.000,0.015,0.001,0.000,0.000,0.000,2.618,2.618,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
22/06/2009,0.000,2.501,0.190,0.198,0.208,0.209,0.211,0.572,384.000,0.016,0.001,0.000,0.000,0.000,2.731,2.731,5.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
23/06/2009,0.000,2.380,0.189,0.196,0.208,0.209,0.211,0.597,400.000,0.016,0.001,0.000,0.000,0.000,2.837,2.837,5.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
24/06/2009,0.000,2.275,0.188,0.195,0.207,0.209,0.211,0.621,416.000,0.017,0.002,0.000,0.000,0.000,2.937,2.937,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
25/06/2009,0.000,2.182,0.187,0.194,0.207,0.208,0.211,0.642,432.000,0.017,0.002,0.000,0.000,0.000,3.032,3.032,5.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
26/06/2009,0.000,2.099,0.186,0.193,0.207,0.208,0.211,0.662,448.000,0.018,0.002,0.000,0.000,0.000,3.123,3.123,5.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
27/06/2009,0.000,2.025,0.186,0.192,0.206,0.208,0.211,0.681,464.000,0.019,0.002,0.000,0.000,0.000,3.208,3.208,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
28/06/2009,0.000,1.957,0.185,0.191,0.206,0.207,0.211,0.699,480.000,0.019,0.002,0.000,0.000,0.000,3.290,3.290,5.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
29/06/2009,0.000,1.896,0.185,0.190,0.205,0.207,0.210,0.716,496.000,0.020,0.003,0.000,0.000,0.000,3.368,3.368,5.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
30/06/2009,0.000,1.840,0.184,0.189,0.205,0.206,0.210,0.731,512.000,0.020,0.003,0.000,0.000,0.000,3.442,3.442,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
01/07/2009,0.000,1.788,0.184,0.189,0.204,0.206,0.210,0.746,528.000,0.021,0.003,0.001,0.000,0.000,3.513,3.513,5.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
02/07/2009,0.000,1.741,0.184,0.188,0.204,0.206,0.210,0.760,544.000,0.021,0.003,0.001,0.000,0.000,3.580,3.580,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
03/07/2009,0.000,1.698,0.184,0.188,0.203,0.205,0.210,0.774,560.000,0.021,0.003,0.001,0.000,0.000,3.664,3.664,5.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
04/07/2009,0.000,1.658,0.184,0.187,0.203,0.205,0.210,0.786,576.000,0.022,0.004,0.001,0.000,0.000,3.751,3.751,5.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
05/07/2009,0.000,1.620,0.184,0.187,0.203,0.205,0.209,0.798,592.000,0.022,0.004,0.001,0.000,0.000,3.835,3.835,6.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
06/07/2009,0.000,1.586,0.184,0.187,0.202,0.204,0.209,0.809,608.000,0.023,0.004,0.001,0.000,0.000,3.915,3.915,5.000,0.212,0.212,0.212,0.212,0.212,0.060,0.060,0.060,0.060,0.060,
