ApsimVersion = 7.7
Title = swcon_ApsimVYc11
           Date           rain             es    sw(6-10)(1)    sw(6-10)(2)    sw(6-10)(3)    sw(6-10)(4)    sw(6-10)(5)   dul(6-10)(1)   dul(6-10)(2)   dul(6-10)(3)   dul(6-10)(4)   dul(6-10)(5)   sat(6-10)(1)   sat(6-10)(2)   sat(6-10)(3)   sat(6-10)(4)   sat(6-10)(5)
   (dd/mm/yyyy)           (mm)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)
     01/06/2009          0.000          0.584          0.175          0.175          0.175          0.175          0.175          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     02/06/2009       3000.000          0.000          0.216          0.216          0.216          0.216          0.216          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     03/06/2009       3000.000          0.000          0.215          0.215          0.215          0.215          0.215          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     04/06/2009       3000.000          0.000          0.215          0.215          0.215          0.215          0.215          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     05/06/2009       3000.000          0.000          0.215          0.215          0.215          0.215          0.215          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     06/06/2009       3000.000          0.000          0.215          0.215          0.215          0.215          0.215          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     07/06/2009       3000.000          0.000          0.215          0.215          0.215          0.215          0.215          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     08/06/2009       3000.000          0.000          0.215          0.215          0.215          0.215          0.215          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     09/06/2009       3000.000          0.000          0.215          0.215          0.215          0.215          0.215          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     10/06/2009       3000.000          0.000          0.215          0.215          0.215          0.215          0.215          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     11/06/2009       3000.000          0.000          0.215          0.215          0.215          0.215          0.215          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     12/06/2009       3000.000          0.000          0.215          0.215          0.215          0.215          0.215          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     13/06/2009       3000.000          0.000          0.215          0.215          0.215          0.215          0.215          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     14/06/2009       3000.000          0.000          0.215          0.215          0.215          0.215          0.215          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     15/06/2009       3000.000          0.000          0.215          0.215          0.215          0.215          0.215          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     16/06/2009          0.000          0.000          0.197          0.198          0.200          0.201          0.202          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     17/06/2009          0.000          0.000          0.193          0.193          0.195          0.196          0.197          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     18/06/2009          0.000          0.000          0.190          0.191          0.193          0.193          0.195          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     19/06/2009          0.000          0.000          0.188          0.189          0.191          0.191          0.193          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     20/06/2009          0.000          0.000          0.187          0.187          0.189          0.189          0.191          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     21/06/2009          0.000          0.000          0.185          0.186          0.188          0.188          0.190          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     22/06/2009          0.000          0.000          0.184          0.185          0.187          0.187          0.189          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     23/06/2009          0.000          0.000          0.183          0.184          0.186          0.186          0.188          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     24/06/2009          0.000          0.000          0.183          0.183          0.185          0.185          0.187          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     25/06/2009          0.000          0.000          0.182          0.183          0.184          0.185          0.186          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     26/06/2009          0.000          0.000          0.182          0.182          0.184          0.184          0.186          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     27/06/2009          0.000          0.000          0.181          0.182          0.183          0.184          0.185          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     28/06/2009          0.000          0.000          0.181          0.181          0.183          0.183          0.184          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     29/06/2009          0.000          0.000          0.180          0.181          0.182          0.183          0.184          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     30/06/2009          0.000          0.000          0.180          0.180          0.182          0.182          0.183          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     01/07/2009          0.000          0.000          0.180          0.180          0.181          0.182          0.183          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     02/07/2009          0.000          0.000          0.179          0.180          0.181          0.181          0.183          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     03/07/2009          0.000          0.000          0.179          0.179          0.181          0.181          0.182          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     04/07/2009          0.000          0.000          0.179          0.179          0.180          0.181          0.182          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     05/07/2009          0.000          0.000          0.178          0.179          0.180          0.180          0.182          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     06/07/2009          0.000          0.000          0.178          0.178          0.180          0.180          0.181          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     07/07/2009          0.000          0.000          0.178          0.178          0.180          0.180          0.181          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     08/07/2009          0.000          0.000          0.178          0.178          0.179          0.180          0.181          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     09/07/2009          0.000          0.000          0.177          0.178          0.179          0.179          0.181          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     10/07/2009          0.000          0.000          0.177          0.177          0.179          0.179          0.180          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     11/07/2009          0.000          0.000          0.177          0.177          0.179          0.179          0.180          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
     12/07/2009          0.000          0.000          0.177          0.177          0.178          0.179          0.180          0.175          0.175          0.175          0.175          0.175          0.221          0.221          0.221          0.221          0.221
