ApsimVersion = 7.7
Title = swcon_Awatere191
           Date           rain             es    sw(6-10)(1)    sw(6-10)(2)    sw(6-10)(3)    sw(6-10)(4)    sw(6-10)(5)   dul(6-10)(1)   dul(6-10)(2)   dul(6-10)(3)   dul(6-10)(4)   dul(6-10)(5)   sat(6-10)(1)   sat(6-10)(2)   sat(6-10)(3)   sat(6-10)(4)   sat(6-10)(5)
   (dd/mm/yyyy)           (mm)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)
     01/06/2009          0.000          0.584          0.149          0.149          0.149          0.149          0.149          0.149          0.149          0.149          0.149          0.149          0.523          0.523          0.523          0.523          0.523
     02/06/2009       3000.000          0.000          0.248          0.219          0.157          0.150          0.149          0.149          0.149          0.149          0.149          0.149          0.523          0.523          0.523          0.523          0.523
     03/06/2009       3000.000          0.000          0.283          0.284          0.269          0.261          0.202          0.149          0.149          0.149          0.149          0.149          0.523          0.523          0.523          0.523          0.523
     04/06/2009       3000.000          0.000          0.282          0.282          0.283          0.283          0.280          0.149          0.149          0.149          0.149          0.149          0.523          0.523          0.523          0.523          0.523
     05/06/2009       3000.000          0.000          0.282          0.282          0.282          0.282          0.282          0.149          0.149          0.149          0.149          0.149          0.523          0.523          0.523          0.523          0.523
     06/06/2009       3000.000          0.000          0.282          0.282          0.282          0.282          0.282          0.149          0.149          0.149          0.149          0.149          0.523          0.523          0.523          0.523          0.523
     07/06/2009       3000.000          0.000          0.282          0.282          0.282          0.282          0.282          0.149          0.149          0.149          0.149          0.149          0.523          0.523          0.523          0.523          0.523
     08/06/2009       3000.000          0.000          0.282          0.282          0.282          0.282          0.282          0.149          0.149          0.149          0.149          0.149          0.523          0.523          0.523          0.523          0.523
     09/06/2009       3000.000          0.000          0.282          0.282          0.282          0.282          0.282          0.149          0.149          0.149          0.149          0.149          0.523          0.523          0.523          0.523          0.523
