ApsimVersion = 7.7
Title = swcon_Ayreburn171
           Date           rain             es    sw(6-10)(1)    sw(6-10)(2)    sw(6-10)(3)    sw(6-10)(4)    sw(6-10)(5)   dul(6-10)(1)   dul(6-10)(2)   dul(6-10)(3)   dul(6-10)(4)   dul(6-10)(5)   sat(6-10)(1)   sat(6-10)(2)   sat(6-10)(3)   sat(6-10)(4)   sat(6-10)(5)
   (dd/mm/yyyy)           (mm)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)
     01/06/2009          0.000          0.584          0.528          0.528          0.528          0.528          0.528          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     02/06/2009       3000.000          0.000          0.551          0.551          0.551          0.551          0.551          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     03/06/2009       3000.000          0.000          0.551          0.551          0.551          0.551          0.551          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     04/06/2009       3000.000          0.000          0.551          0.551          0.551          0.551          0.551          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     05/06/2009       3000.000          0.000          0.551          0.551          0.551          0.551          0.551          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     06/06/2009       3000.000          0.000          0.551          0.551          0.551          0.551          0.551          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     07/06/2009       3000.000          0.000          0.551          0.551          0.551          0.551          0.551          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     08/06/2009       3000.000          0.000          0.551          0.551          0.551          0.551          0.551          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     09/06/2009       3000.000          0.000          0.551          0.551          0.551          0.551          0.551          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     10/06/2009       3000.000          0.000          0.551          0.551          0.551          0.551          0.551          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     11/06/2009       3000.000          0.000          0.551          0.551          0.551          0.551          0.551          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     12/06/2009       3000.000          0.000          0.551          0.551          0.551          0.551          0.551          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     13/06/2009       3000.000          0.000          0.551          0.551          0.551          0.551          0.551          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     14/06/2009       3000.000          0.000          0.551          0.551          0.551          0.551          0.551          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     15/06/2009       3000.000          0.000          0.551          0.551          0.551          0.551          0.551          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     16/06/2009          0.000          0.000          0.543          0.544          0.544          0.545          0.545          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     17/06/2009          0.000          0.000          0.542          0.542          0.543          0.543          0.543          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     18/06/2009          0.000          0.000          0.541          0.541          0.542          0.542          0.542          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     19/06/2009          0.000          0.000          0.540          0.540          0.541          0.541          0.542          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     20/06/2009          0.000          0.000          0.539          0.539          0.540          0.540          0.541          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     21/06/2009          0.000          0.000          0.538          0.539          0.540          0.540          0.540          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     22/06/2009          0.000          0.000          0.538          0.538          0.539          0.539          0.540          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     23/06/2009          0.000          0.000          0.537          0.538          0.539          0.539          0.540          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     24/06/2009          0.000          0.000          0.537          0.537          0.538          0.539          0.539          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     25/06/2009          0.000          0.000          0.537          0.537          0.538          0.538          0.539          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     26/06/2009          0.000          0.000          0.536          0.537          0.538          0.538          0.539          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     27/06/2009          0.000          0.000          0.536          0.536          0.537          0.538          0.538          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     28/06/2009          0.000          0.000          0.536          0.536          0.537          0.537          0.538          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     29/06/2009          0.000          0.000          0.535          0.536          0.537          0.537          0.538          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     30/06/2009          0.000          0.000          0.535          0.535          0.537          0.537          0.538          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     01/07/2009          0.000          0.000          0.535          0.535          0.536          0.537          0.538          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     02/07/2009          0.000          0.000          0.535          0.535          0.536          0.536          0.537          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     03/07/2009          0.000          0.000          0.534          0.535          0.536          0.536          0.537          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     04/07/2009          0.000          0.000          0.534          0.534          0.536          0.536          0.537          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     05/07/2009          0.000          0.000          0.534          0.534          0.536          0.536          0.537          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     06/07/2009          0.000          0.000          0.534          0.534          0.535          0.536          0.537          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     07/07/2009          0.000          0.000          0.533          0.534          0.535          0.536          0.536          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     08/07/2009          0.000          0.000          0.533          0.534          0.535          0.535          0.536          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     09/07/2009          0.000          0.000          0.533          0.533          0.535          0.535          0.536          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     10/07/2009          0.000          0.000          0.533          0.533          0.535          0.535          0.536          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     11/07/2009          0.000          0.000          0.533          0.533          0.535          0.535          0.536          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
     12/07/2009          0.000          0.000          0.532          0.533          0.534          0.535          0.536          0.528          0.528          0.528          0.528          0.528          0.552          0.552          0.552          0.552          0.552
