ApsimVersion = 7.7
Title = swcon_Dannevirke391
Date,rain,es,sw(6-10)(1),sw(6-10)(2),sw(6-10)(3),sw(6-10)(4),sw(6-10)(5),dul(6-10)(1),dul(6-10)(2),dul(6-10)(3),dul(6-10)(4),dul(6-10)(5),sat(6-10)(1),sat(6-10)(2),sat(6-10)(3),sat(6-10)(4),sat(6-10)(5),
(dd/mm/yyyy),(mm),(mm),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),
01/06/2009,0.000,0.584,0.559,0.559,0.559,0.559,0.559,0.559,0.559,0.559,0.559,0.559,0.622,0.622,0.622,0.622,0.622,
02/06/2009,3000.000,0.000,0.612,0.612,0.612,0.612,0.605,0.559,0.559,0.559,0.559,0.559,0.622,0.622,0.622,0.622,0.622,
03/06/2009,3000.000,0.000,0.612,0.612,0.612,0.612,0.612,0.559,0.559,0.559,0.559,0.559,0.622,0.622,0.622,0.622,0.622,
04/06/2009,3000.000,0.000,0.612,0.612,0.612,0.612,0.612,0.559,0.559,0.559,0.559,0.559,0.622,0.622,0.622,0.622,0.622,
05/06/2009,3000.000,0.000,0.612,0.612,0.612,0.612,0.612,0.559,0.559,0.559,0.559,0.559,0.622,0.622,0.622,0.622,0.622,
06/06/2009,3000.000,0.000,0.612,0.612,0.612,0.612,0.612,0.559,0.559,0.559,0.559,0.559,0.622,0.622,0.622,0.622,0.622,
07/06/2009,3000.000,0.000,0.612,0.612,0.612,0.612,0.612,0.559,0.559,0.559,0.559,0.559,0.622,0.622,0.622,0.622,0.622,
08/06/2009,3000.000,0.000,0.612,0.612,0.612,0.612,0.612,0.559,0.559,0.559,0.559,0.559,0.622,0.622,0.622,0.622,0.622,
09/06/2009,3000.000,0.000,0.612,0.612,0.612,0.612,0.612,0.559,0.559,0.559,0.559,0.559,0.622,0.622,0.622,0.622,0.622,
10/06/2009,3000.000,0.000,0.612,0.612,0.612,0.612,0.612,0.559,0.559,0.559,0.559,0.559,0.622,0.622,0.622,0.622,0.622,
11/06/2009,3000.000,0.000,0.612,0.612,0.612,0.612,0.612,0.559,0.559,0.559,0.559,0.559,0.622,0.622,0.622,0.622,0.622,
12/06/2009,3000.000,0.000,0.612,0.612,0.612,0.612,0.612,0.559,0.559,0.559,0.559,0.559,0.622,0.622,0.622,0.622,0.622,
13/06/2009,3000.000,0.000,0.612,0.612,0.612,0.612,0.612,0.559,0.559,0.559,0.559,0.559,0.622,0.622,0.622,0.622,0.622,
14/06/2009,3000.000,0.000,0.612,0.612,0.612,0.612,0.612,0.559,0.559,0.559,0.559,0.559,0.622,0.622,0.622,0.622,0.622,
