ApsimVersion = 7.7
Title = swcon_Dannevirke401
           Date           rain             es    sw(6-10)(1)    sw(6-10)(2)    sw(6-10)(3)    sw(6-10)(4)    sw(6-10)(5)   dul(6-10)(1)   dul(6-10)(2)   dul(6-10)(3)   dul(6-10)(4)   dul(6-10)(5)   sat(6-10)(1)   sat(6-10)(2)   sat(6-10)(3)   sat(6-10)(4)   sat(6-10)(5)
   (dd/mm/yyyy)           (mm)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)
     01/06/2009          0.000          0.584          0.560          0.560          0.560          0.560          0.560          0.560          0.560          0.560          0.560          0.560          0.630          0.630          0.630          0.630          0.630
     02/06/2009       3000.000          0.000          0.614          0.614          0.614          0.614          0.606          0.560          0.560          0.560          0.560          0.560          0.630          0.630          0.630          0.630          0.630
     03/06/2009       3000.000          0.000          0.614          0.614          0.614          0.614          0.614          0.560          0.560          0.560          0.560          0.560          0.630          0.630          0.630          0.630          0.630
     04/06/2009       3000.000          0.000          0.614          0.614          0.614          0.614          0.614          0.560          0.560          0.560          0.560          0.560          0.630          0.630          0.630          0.630          0.630
     05/06/2009       3000.000          0.000          0.614          0.614          0.614          0.614          0.614          0.560          0.560          0.560          0.560          0.560          0.630          0.630          0.630          0.630          0.630
     06/06/2009       3000.000          0.000          0.614          0.614          0.614          0.614          0.614          0.560          0.560          0.560          0.560          0.560          0.630          0.630          0.630          0.630          0.630
     07/06/2009       3000.000          0.000          0.614          0.614          0.614          0.614          0.614          0.560          0.560          0.560          0.560          0.560          0.630          0.630          0.630          0.630          0.630
     08/06/2009       3000.000          0.000          0.614          0.614          0.614          0.614          0.614          0.560          0.560          0.560          0.560          0.560          0.630          0.630          0.630          0.630          0.630
     09/06/2009       3000.000          0.000          0.614          0.614          0.614          0.614          0.614          0.560          0.560          0.560          0.560          0.560          0.630          0.630          0.630          0.630          0.630
     10/06/2009       3000.000          0.000          0.614          0.614          0.614          0.614          0.614          0.560          0.560          0.560          0.560          0.560          0.630          0.630          0.630          0.630          0.630
     11/06/2009       3000.000          0.000          0.614          0.614          0.614          0.614          0.614          0.560          0.560          0.560          0.560          0.560          0.630          0.630          0.630          0.630          0.630
     12/06/2009       3000.000          0.000          0.614          0.614          0.614          0.614          0.614          0.560          0.560          0.560          0.560          0.560          0.630          0.630          0.630          0.630          0.630
     13/06/2009       3000.000          0.000          0.614          0.614          0.614          0.614          0.614          0.560          0.560          0.560          0.560          0.560          0.630          0.630          0.630          0.630          0.630
