ApsimVersion = 7.7
Title = swcon_Fork81
Date,rain,es,sw(6-10)(1),sw(6-10)(2),sw(6-10)(3),sw(6-10)(4),sw(6-10)(5),dul(6-10)(1),dul(6-10)(2),dul(6-10)(3),dul(6-10)(4),dul(6-10)(5),sat(6-10)(1),sat(6-10)(2),sat(6-10)(3),sat(6-10)(4),sat(6-10)(5),
(dd/mm/yyyy),(mm),(mm),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),
01/06/2009,0.000,0.583,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
02/06/2009,3000.000,0.000,0.081,0.081,0.081,0.081,0.081,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
03/06/2009,3000.000,0.000,0.079,0.079,0.079,0.079,0.079,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
04/06/2009,3000.000,0.000,0.079,0.079,0.079,0.079,0.079,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
05/06/2009,3000.000,0.000,0.079,0.079,0.079,0.079,0.079,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
06/06/2009,3000.000,0.000,0.079,0.079,0.079,0.079,0.079,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
07/06/2009,3000.000,0.000,0.079,0.079,0.079,0.079,0.079,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
08/06/2009,3000.000,0.000,0.079,0.079,0.079,0.079,0.079,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
09/06/2009,3000.000,0.000,0.079,0.079,0.079,0.079,0.079,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
10/06/2009,3000.000,0.000,0.079,0.079,0.079,0.079,0.079,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
11/06/2009,3000.000,0.000,0.079,0.079,0.079,0.079,0.079,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
12/06/2009,3000.000,0.000,0.079,0.079,0.079,0.079,0.079,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
13/06/2009,3000.000,0.000,0.079,0.079,0.079,0.079,0.079,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
14/06/2009,3000.000,0.000,0.079,0.079,0.079,0.079,0.079,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
15/06/2009,3000.000,0.000,0.079,0.079,0.079,0.079,0.079,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
16/06/2009,0.000,0.000,0.063,0.063,0.065,0.066,0.067,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
17/06/2009,0.000,0.000,0.058,0.059,0.061,0.061,0.063,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
18/06/2009,0.000,0.000,0.056,0.057,0.058,0.059,0.060,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
19/06/2009,0.000,0.000,0.055,0.055,0.057,0.057,0.058,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
20/06/2009,0.000,0.000,0.053,0.054,0.056,0.056,0.057,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
21/06/2009,0.000,0.000,0.052,0.053,0.054,0.055,0.056,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
22/06/2009,0.000,0.000,0.052,0.052,0.054,0.054,0.055,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
23/06/2009,0.000,0.000,0.051,0.051,0.053,0.053,0.054,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
24/06/2009,0.000,0.000,0.050,0.051,0.052,0.052,0.054,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
25/06/2009,0.000,0.000,0.050,0.050,0.052,0.052,0.053,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
26/06/2009,0.000,0.000,0.049,0.050,0.051,0.051,0.053,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
27/06/2009,0.000,0.000,0.049,0.049,0.051,0.051,0.052,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
28/06/2009,0.000,0.000,0.049,0.049,0.050,0.051,0.052,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
29/06/2009,0.000,0.000,0.048,0.049,0.050,0.050,0.051,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
30/06/2009,0.000,0.000,0.048,0.048,0.050,0.050,0.051,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
01/07/2009,0.000,0.000,0.048,0.048,0.049,0.050,0.051,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
02/07/2009,0.000,0.000,0.047,0.048,0.049,0.049,0.050,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
03/07/2009,0.000,0.000,0.047,0.047,0.049,0.049,0.050,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
04/07/2009,0.000,0.000,0.047,0.047,0.048,0.049,0.050,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
05/07/2009,0.000,0.000,0.047,0.047,0.048,0.048,0.049,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
06/07/2009,0.000,0.000,0.046,0.047,0.048,0.048,0.049,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
07/07/2009,0.000,0.000,0.046,0.047,0.048,0.048,0.049,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
08/07/2009,0.000,0.000,0.046,0.046,0.048,0.048,0.049,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
09/07/2009,0.000,0.000,0.046,0.046,0.047,0.048,0.049,0.046,0.046,0.046,0.046,0.046,0.139,0.139,0.139,0.139,0.139,
