ApsimVersion = 7.7
Title = swcon_Glasnevin131
           Date           rain             es    sw(6-10)(1)    sw(6-10)(2)    sw(6-10)(3)    sw(6-10)(4)    sw(6-10)(5)   dul(6-10)(1)   dul(6-10)(2)   dul(6-10)(3)   dul(6-10)(4)   dul(6-10)(5)   sat(6-10)(1)   sat(6-10)(2)   sat(6-10)(3)   sat(6-10)(4)   sat(6-10)(5)
   (dd/mm/yyyy)           (mm)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)
     01/06/2009          0.000          0.584          0.157          0.157          0.157          0.157          0.157          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     02/06/2009       3000.000          0.000          0.210          0.210          0.210          0.211          0.207          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     03/06/2009       3000.000          0.000          0.209          0.209          0.209          0.209          0.209          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     04/06/2009       3000.000          0.000          0.209          0.209          0.209          0.209          0.209          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     05/06/2009       3000.000          0.000          0.209          0.209          0.209          0.209          0.209          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     06/06/2009       3000.000          0.000          0.209          0.209          0.209          0.209          0.209          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     07/06/2009       3000.000          0.000          0.209          0.209          0.209          0.209          0.209          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     08/06/2009       3000.000          0.000          0.209          0.209          0.209          0.209          0.209          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     09/06/2009       3000.000          0.000          0.209          0.209          0.209          0.209          0.209          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     10/06/2009       3000.000          0.000          0.209          0.209          0.209          0.209          0.209          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     11/06/2009       3000.000          0.000          0.209          0.209          0.209          0.209          0.209          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     12/06/2009       3000.000          0.000          0.209          0.209          0.209          0.209          0.209          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     13/06/2009       3000.000          0.000          0.209          0.209          0.209          0.209          0.209          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     14/06/2009       3000.000          0.000          0.209          0.209          0.209          0.209          0.209          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     15/06/2009       3000.000          0.000          0.209          0.209          0.209          0.209          0.209          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     16/06/2009          0.000          0.000          0.189          0.190          0.192          0.193          0.195          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     17/06/2009          0.000          0.000          0.182          0.183          0.186          0.187          0.189          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     18/06/2009          0.000          0.000          0.179          0.180          0.183          0.183          0.185          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     19/06/2009          0.000          0.000          0.177          0.177          0.180          0.181          0.183          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     20/06/2009          0.000          0.000          0.175          0.175          0.178          0.179          0.181          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     21/06/2009          0.000          0.000          0.173          0.174          0.176          0.177          0.179          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     22/06/2009          0.000          0.000          0.172          0.172          0.175          0.175          0.178          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     23/06/2009          0.000          0.000          0.170          0.171          0.174          0.174          0.176          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     24/06/2009          0.000          0.000          0.169          0.170          0.173          0.173          0.175          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     25/06/2009          0.000          0.000          0.168          0.169          0.172          0.172          0.174          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     26/06/2009          0.000          0.000          0.168          0.168          0.171          0.171          0.173          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     27/06/2009          0.000          0.000          0.167          0.168          0.170          0.171          0.173          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     28/06/2009          0.000          0.000          0.166          0.167          0.169          0.170          0.172          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     29/06/2009          0.000          0.000          0.166          0.166          0.169          0.169          0.171          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     30/06/2009          0.000          0.000          0.165          0.166          0.168          0.169          0.171          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     01/07/2009          0.000          0.000          0.165          0.165          0.168          0.168          0.170          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     02/07/2009          0.000          0.000          0.164          0.165          0.167          0.168          0.169          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     03/07/2009          0.000          0.000          0.164          0.165          0.167          0.167          0.169          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     04/07/2009          0.000          0.000          0.164          0.164          0.166          0.167          0.168          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     05/07/2009          0.000          0.000          0.163          0.164          0.166          0.166          0.168          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     06/07/2009          0.000          0.000          0.163          0.163          0.166          0.166          0.168          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     07/07/2009          0.000          0.000          0.163          0.163          0.165          0.166          0.167          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     08/07/2009          0.000          0.000          0.162          0.163          0.165          0.165          0.167          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     09/07/2009          0.000          0.000          0.162          0.162          0.164          0.165          0.167          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     10/07/2009          0.000          0.000          0.162          0.162          0.164          0.165          0.166          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     11/07/2009          0.000          0.000          0.161          0.162          0.164          0.164          0.166          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     12/07/2009          0.000          0.000          0.161          0.162          0.164          0.164          0.166          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     13/07/2009          0.000          0.000          0.161          0.161          0.163          0.164          0.165          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     14/07/2009          0.000          0.000          0.161          0.161          0.163          0.163          0.165          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     15/07/2009          0.000          0.000          0.160          0.161          0.163          0.163          0.165          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     16/07/2009          0.000          0.000          0.160          0.161          0.162          0.163          0.164          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     17/07/2009          0.000          0.000          0.160          0.160          0.162          0.163          0.164          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     18/07/2009          0.000          0.000          0.160          0.160          0.162          0.162          0.164          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     19/07/2009          0.000          0.000          0.160          0.160          0.162          0.162          0.164          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     20/07/2009          0.000          0.000          0.159          0.160          0.162          0.162          0.164          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     21/07/2009          0.000          0.000          0.159          0.160          0.161          0.162          0.163          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
     22/07/2009          0.000          0.000          0.159          0.159          0.161          0.161          0.163          0.157          0.157          0.157          0.157          0.157          0.217          0.217          0.217          0.217          0.217
