ApsimVersion = 7.7
Title = swcon_Mandamus321
           Date           rain             es    sw(6-10)(1)    sw(6-10)(2)    sw(6-10)(3)    sw(6-10)(4)    sw(6-10)(5)   dul(6-10)(1)   dul(6-10)(2)   dul(6-10)(3)   dul(6-10)(4)   dul(6-10)(5)   sat(6-10)(1)   sat(6-10)(2)   sat(6-10)(3)   sat(6-10)(4)   sat(6-10)(5)
   (dd/mm/yyyy)           (mm)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)
     01/06/2009          0.000          0.584          0.090          0.090          0.090          0.090          0.090          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     02/06/2009       3000.000          0.000          0.144          0.144          0.144          0.145          0.140          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     03/06/2009       3000.000          0.000          0.143          0.143          0.143          0.143          0.143          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     04/06/2009       3000.000          0.000          0.143          0.143          0.143          0.143          0.143          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     05/06/2009       3000.000          0.000          0.143          0.143          0.143          0.143          0.143          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     06/06/2009       3000.000          0.000          0.143          0.143          0.143          0.143          0.143          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     07/06/2009       3000.000          0.000          0.143          0.143          0.143          0.143          0.143          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     08/06/2009       3000.000          0.000          0.143          0.143          0.143          0.143          0.143          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     09/06/2009       3000.000          0.000          0.143          0.143          0.143          0.143          0.143          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     10/06/2009       3000.000          0.000          0.143          0.143          0.143          0.143          0.143          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     11/06/2009       3000.000          0.000          0.143          0.143          0.143          0.143          0.143          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     12/06/2009       3000.000          0.000          0.143          0.143          0.143          0.143          0.143          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     13/06/2009       3000.000          0.000          0.143          0.143          0.143          0.143          0.143          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     14/06/2009       3000.000          0.000          0.143          0.143          0.143          0.143          0.143          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     15/06/2009       3000.000          0.000          0.143          0.143          0.143          0.143          0.143          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     16/06/2009          0.000          0.000          0.121          0.122          0.125          0.126          0.128          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     17/06/2009          0.000          0.000          0.114          0.115          0.118          0.119          0.121          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     18/06/2009          0.000          0.000          0.111          0.112          0.115          0.115          0.117          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     19/06/2009          0.000          0.000          0.108          0.109          0.112          0.112          0.115          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     20/06/2009          0.000          0.000          0.106          0.107          0.110          0.110          0.112          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     21/06/2009          0.000          0.000          0.105          0.105          0.108          0.109          0.111          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     22/06/2009          0.000          0.000          0.103          0.104          0.107          0.107          0.109          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     23/06/2009          0.000          0.000          0.102          0.103          0.105          0.106          0.108          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     24/06/2009          0.000          0.000          0.101          0.102          0.104          0.105          0.107          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     25/06/2009          0.000          0.000          0.100          0.101          0.103          0.104          0.106          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     26/06/2009          0.000          0.000          0.100          0.100          0.103          0.103          0.105          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
     27/06/2009          0.000          0.000          0.099          0.100          0.102          0.102          0.104          0.090          0.090          0.090          0.090          0.090          0.177          0.177          0.177          0.177          0.177
