ApsimVersion = 7.7
Title = swcon_Mataikona301
Date,rain,es,sw(6-10)(1),sw(6-10)(2),sw(6-10)(3),sw(6-10)(4),sw(6-10)(5),dul(6-10)(1),dul(6-10)(2),dul(6-10)(3),dul(6-10)(4),dul(6-10)(5),sat(6-10)(1),sat(6-10)(2),sat(6-10)(3),sat(6-10)(4),sat(6-10)(5),
(dd/mm/yyyy),(mm),(mm),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),
01/06/2009,0.000,0.584,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
02/06/2009,3000.000,0.000,0.450,0.450,0.450,0.451,0.446,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
03/06/2009,3000.000,0.000,0.450,0.450,0.450,0.450,0.450,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
04/06/2009,3000.000,0.000,0.450,0.450,0.450,0.450,0.450,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
05/06/2009,3000.000,0.000,0.450,0.450,0.450,0.450,0.450,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
06/06/2009,3000.000,0.000,0.450,0.450,0.450,0.450,0.450,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
07/06/2009,3000.000,0.000,0.450,0.450,0.450,0.450,0.450,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
08/06/2009,3000.000,0.000,0.450,0.450,0.450,0.450,0.450,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
09/06/2009,3000.000,0.000,0.450,0.450,0.450,0.450,0.450,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
10/06/2009,3000.000,0.000,0.450,0.450,0.450,0.450,0.450,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
11/06/2009,3000.000,0.000,0.450,0.450,0.450,0.450,0.450,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
12/06/2009,3000.000,0.000,0.450,0.450,0.450,0.450,0.450,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
13/06/2009,3000.000,0.000,0.450,0.450,0.450,0.450,0.450,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
14/06/2009,3000.000,0.000,0.450,0.450,0.450,0.450,0.450,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
15/06/2009,3000.000,0.000,0.450,0.450,0.450,0.450,0.450,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
16/06/2009,0.000,0.000,0.434,0.435,0.437,0.438,0.439,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
17/06/2009,0.000,0.000,0.429,0.430,0.432,0.433,0.434,0.398,0.398,0.398,0.398,0.398,0.461,0.461,0.461,0.461,0.461,
