ApsimVersion = 7.7
Title = swcon_Oronoko1281
           Date           rain             es    sw(6-10)(1)    sw(6-10)(2)    sw(6-10)(3)    sw(6-10)(4)    sw(6-10)(5)   dul(6-10)(1)   dul(6-10)(2)   dul(6-10)(3)   dul(6-10)(4)   dul(6-10)(5)   sat(6-10)(1)   sat(6-10)(2)   sat(6-10)(3)   sat(6-10)(4)   sat(6-10)(5)
   (dd/mm/yyyy)           (mm)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)
     01/06/2009          0.000          0.584          0.382          0.382          0.382          0.382          0.382          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     02/06/2009       3000.000          0.000          0.440          0.440          0.439          0.440          0.426          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     03/06/2009       3000.000          0.000          0.439          0.439          0.439          0.439          0.439          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     04/06/2009       3000.000          0.000          0.439          0.439          0.439          0.439          0.439          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     05/06/2009       3000.000          0.000          0.439          0.439          0.439          0.439          0.439          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     06/06/2009       3000.000          0.000          0.439          0.439          0.439          0.439          0.439          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     07/06/2009       3000.000          0.000          0.439          0.439          0.439          0.439          0.439          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     08/06/2009       3000.000          0.000          0.439          0.439          0.439          0.439          0.439          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     09/06/2009       3000.000          0.000          0.439          0.439          0.439          0.439          0.439          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     10/06/2009       3000.000          0.000          0.439          0.439          0.439          0.439          0.439          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     11/06/2009       3000.000          0.000          0.439          0.439          0.439          0.439          0.439          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     12/06/2009       3000.000          0.000          0.439          0.439          0.439          0.439          0.439          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     13/06/2009       3000.000          0.000          0.439          0.439          0.439          0.439          0.439          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     14/06/2009       3000.000          0.000          0.439          0.439          0.439          0.439          0.439          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     15/06/2009       3000.000          0.000          0.439          0.439          0.439          0.439          0.439          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     16/06/2009          0.000          0.000          0.423          0.424          0.426          0.427          0.428          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     17/06/2009          0.000          0.000          0.418          0.419          0.421          0.422          0.423          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     18/06/2009          0.000          0.000          0.415          0.416          0.419          0.419          0.421          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     19/06/2009          0.000          0.000          0.413          0.414          0.416          0.417          0.419          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     20/06/2009          0.000          0.000          0.411          0.412          0.415          0.415          0.417          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     21/06/2009          0.000          0.000          0.410          0.411          0.413          0.414          0.416          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     22/06/2009          0.000          0.000          0.408          0.409          0.412          0.413          0.415          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     23/06/2009          0.000          0.000          0.407          0.408          0.411          0.411          0.413          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     24/06/2009          0.000          0.000          0.406          0.407          0.410          0.410          0.413          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     25/06/2009          0.000          0.000          0.405          0.406          0.409          0.409          0.412          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     26/06/2009          0.000          0.000          0.404          0.405          0.408          0.409          0.411          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     27/06/2009          0.000          0.000          0.403          0.404          0.407          0.408          0.410          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     28/06/2009          0.000          0.000          0.402          0.403          0.407          0.407          0.409          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     29/06/2009          0.000          0.000          0.402          0.402          0.406          0.406          0.409          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     30/06/2009          0.000          0.000          0.401          0.402          0.405          0.406          0.408          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     01/07/2009          0.000          0.000          0.400          0.401          0.404          0.405          0.407          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     02/07/2009          0.000          0.000          0.400          0.400          0.404          0.404          0.407          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     03/07/2009          0.000          0.000          0.399          0.400          0.403          0.404          0.406          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     04/07/2009          0.000          0.000          0.398          0.399          0.403          0.403          0.406          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     05/07/2009          0.000          0.000          0.398          0.399          0.402          0.403          0.405          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     06/07/2009          0.000          0.000          0.397          0.398          0.402          0.402          0.405          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     07/07/2009          0.000          0.000          0.397          0.398          0.401          0.402          0.404          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     08/07/2009          0.000          0.000          0.397          0.397          0.401          0.401          0.404          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     09/07/2009          0.000          0.000          0.396          0.397          0.400          0.401          0.403          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     10/07/2009          0.000          0.000          0.396          0.397          0.400          0.400          0.403          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     11/07/2009          0.000          0.000          0.395          0.396          0.399          0.400          0.403          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     12/07/2009          0.000          0.000          0.395          0.396          0.399          0.400          0.402          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     13/07/2009          0.000          0.000          0.395          0.395          0.399          0.399          0.402          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     14/07/2009          0.000          0.000          0.394          0.395          0.398          0.399          0.401          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     15/07/2009          0.000          0.000          0.394          0.395          0.398          0.399          0.401          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     16/07/2009          0.000          0.000          0.394          0.394          0.398          0.398          0.401          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     17/07/2009          0.000          0.000          0.393          0.394          0.397          0.398          0.400          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     18/07/2009          0.000          0.000          0.393          0.394          0.397          0.397          0.400          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     19/07/2009          0.000          0.000          0.393          0.393          0.397          0.397          0.400          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     20/07/2009          0.000          0.000          0.392          0.393          0.396          0.397          0.399          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     21/07/2009          0.000          0.000          0.392          0.393          0.396          0.397          0.399          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     22/07/2009          0.000          0.000          0.392          0.393          0.396          0.396          0.399          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     23/07/2009          0.000          0.000          0.392          0.392          0.395          0.396          0.399          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     24/07/2009          0.000          0.000          0.391          0.392          0.395          0.396          0.398          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     25/07/2009          0.000          0.000          0.391          0.392          0.395          0.396          0.398          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     26/07/2009          0.000          0.000          0.391          0.391          0.395          0.395          0.398          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     27/07/2009          0.000          0.000          0.390          0.391          0.394          0.395          0.397          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     28/07/2009          0.000          0.000          0.390          0.391          0.394          0.395          0.397          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     29/07/2009          0.000          0.000          0.390          0.391          0.394          0.394          0.397          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     30/07/2009          0.000          0.000          0.390          0.390          0.394          0.394          0.397          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     31/07/2009          0.000          0.000          0.390          0.390          0.393          0.394          0.396          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     01/08/2009          0.000          0.000          0.389          0.390          0.393          0.394          0.396          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     02/08/2009          0.000          0.000          0.389          0.390          0.393          0.394          0.396          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     03/08/2009          0.000          0.000          0.389          0.390          0.393          0.393          0.396          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     04/08/2009          0.000          0.000          0.389          0.389          0.392          0.393          0.396          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     05/08/2009          0.000          0.000          0.388          0.389          0.392          0.393          0.395          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     06/08/2009          0.000          0.000          0.388          0.389          0.392          0.393          0.395          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     07/08/2009          0.000          0.000          0.388          0.389          0.392          0.392          0.395          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
