ApsimVersion = 7.7
Title = swcon_Oronoko1291
Date,rain,es,sw(6-10)(1),sw(6-10)(2),sw(6-10)(3),sw(6-10)(4),sw(6-10)(5),dul(6-10)(1),dul(6-10)(2),dul(6-10)(3),dul(6-10)(4),dul(6-10)(5),sat(6-10)(1),sat(6-10)(2),sat(6-10)(3),sat(6-10)(4),sat(6-10)(5),
(dd/mm/yyyy),(mm),(mm),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),
01/06/2009,0.000,0.584,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.412,0.412,0.412,0.412,0.412,
02/06/2009,3000.000,0.000,0.365,0.349,0.286,0.268,0.265,0.265,0.265,0.265,0.265,0.265,0.412,0.412,0.412,0.412,0.412,
03/06/2009,3000.000,0.000,0.372,0.372,0.372,0.375,0.357,0.265,0.265,0.265,0.265,0.265,0.412,0.412,0.412,0.412,0.412,
04/06/2009,3000.000,0.000,0.372,0.372,0.372,0.372,0.372,0.265,0.265,0.265,0.265,0.265,0.412,0.412,0.412,0.412,0.412,
05/06/2009,3000.000,0.000,0.372,0.372,0.372,0.372,0.372,0.265,0.265,0.265,0.265,0.265,0.412,0.412,0.412,0.412,0.412,
06/06/2009,3000.000,0.000,0.372,0.372,0.372,0.372,0.372,0.265,0.265,0.265,0.265,0.265,0.412,0.412,0.412,0.412,0.412,
07/06/2009,3000.000,0.000,0.372,0.372,0.372,0.372,0.372,0.265,0.265,0.265,0.265,0.265,0.412,0.412,0.412,0.412,0.412,
08/06/2009,3000.000,0.000,0.372,0.372,0.372,0.372,0.372,0.265,0.265,0.265,0.265,0.265,0.412,0.412,0.412,0.412,0.412,
09/06/2009,3000.000,0.000,0.372,0.372,0.372,0.372,0.372,0.265,0.265,0.265,0.265,0.265,0.412,0.412,0.412,0.412,0.412,
10/06/2009,3000.000,0.000,0.372,0.372,0.372,0.372,0.372,0.265,0.265,0.265,0.265,0.265,0.412,0.412,0.412,0.412,0.412,
