ApsimVersion = 7.7
Title = swcon_Otorohanga571
           Date           rain             es    sw(6-10)(1)    sw(6-10)(2)    sw(6-10)(3)    sw(6-10)(4)    sw(6-10)(5)   dul(6-10)(1)   dul(6-10)(2)   dul(6-10)(3)   dul(6-10)(4)   dul(6-10)(5)   sat(6-10)(1)   sat(6-10)(2)   sat(6-10)(3)   sat(6-10)(4)   sat(6-10)(5)
   (dd/mm/yyyy)           (mm)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)
     01/06/2009          0.000          0.584          0.508          0.508          0.508          0.508          0.508          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     02/06/2009       3000.000          0.000          0.604          0.595          0.538          0.513          0.508          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     03/06/2009       3000.000          0.000          0.607          0.607          0.607          0.609          0.603          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     04/06/2009       3000.000          0.000          0.607          0.607          0.607          0.607          0.607          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     05/06/2009       3000.000          0.000          0.607          0.607          0.607          0.607          0.607          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     06/06/2009       3000.000          0.000          0.607          0.607          0.607          0.607          0.607          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     07/06/2009       3000.000          0.000          0.607          0.607          0.607          0.607          0.607          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     08/06/2009       3000.000          0.000          0.607          0.607          0.607          0.607          0.607          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     09/06/2009       3000.000          0.000          0.607          0.607          0.607          0.607          0.607          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     10/06/2009       3000.000          0.000          0.607          0.607          0.607          0.607          0.607          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     11/06/2009       3000.000          0.000          0.607          0.607          0.607          0.607          0.607          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     12/06/2009       3000.000          0.000          0.607          0.607          0.607          0.607          0.607          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     13/06/2009       3000.000          0.000          0.607          0.607          0.607          0.607          0.607          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     14/06/2009       3000.000          0.000          0.607          0.607          0.607          0.607          0.607          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     15/06/2009       3000.000          0.000          0.607          0.607          0.607          0.607          0.607          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     16/06/2009          0.000          0.000          0.583          0.585          0.588          0.590          0.592          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     17/06/2009          0.000          0.000          0.575          0.577          0.581          0.582          0.584          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     18/06/2009          0.000          0.000          0.570          0.572          0.576          0.577          0.580          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     19/06/2009          0.000          0.000          0.567          0.569          0.573          0.574          0.576          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     20/06/2009          0.000          0.000          0.564          0.566          0.570          0.571          0.574          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     21/06/2009          0.000          0.000          0.562          0.563          0.568          0.569          0.572          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     22/06/2009          0.000          0.000          0.559          0.561          0.566          0.567          0.570          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     23/06/2009          0.000          0.000          0.557          0.559          0.564          0.565          0.568          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     24/06/2009          0.000          0.000          0.556          0.557          0.562          0.563          0.566          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     25/06/2009          0.000          0.000          0.554          0.556          0.561          0.562          0.565          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     26/06/2009          0.000          0.000          0.553          0.554          0.559          0.560          0.564          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
