ApsimVersion = 7.7
Title = swcon_Rangitata671
Date,rain,es,sw(6-10)(1),sw(6-10)(2),sw(6-10)(3),sw(6-10)(4),sw(6-10)(5),dul(6-10)(1),dul(6-10)(2),dul(6-10)(3),dul(6-10)(4),dul(6-10)(5),sat(6-10)(1),sat(6-10)(2),sat(6-10)(3),sat(6-10)(4),sat(6-10)(5),
(dd/mm/yyyy),(mm),(mm),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),
01/06/2009,0.000,0.583,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.107,0.107,0.107,0.107,0.107,
02/06/2009,3000.000,0.000,0.056,0.056,0.056,0.056,0.056,0.029,0.029,0.029,0.029,0.029,0.107,0.107,0.107,0.107,0.107,
03/06/2009,3000.000,0.000,0.054,0.054,0.054,0.054,0.054,0.029,0.029,0.029,0.029,0.029,0.107,0.107,0.107,0.107,0.107,
04/06/2009,3000.000,0.000,0.054,0.054,0.054,0.054,0.054,0.029,0.029,0.029,0.029,0.029,0.107,0.107,0.107,0.107,0.107,
05/06/2009,3000.000,0.000,0.054,0.054,0.054,0.054,0.054,0.029,0.029,0.029,0.029,0.029,0.107,0.107,0.107,0.107,0.107,
06/06/2009,3000.000,0.000,0.054,0.054,0.054,0.054,0.054,0.029,0.029,0.029,0.029,0.029,0.107,0.107,0.107,0.107,0.107,
07/06/2009,3000.000,0.000,0.054,0.054,0.054,0.054,0.054,0.029,0.029,0.029,0.029,0.029,0.107,0.107,0.107,0.107,0.107,
08/06/2009,3000.000,0.000,0.054,0.054,0.054,0.054,0.054,0.029,0.029,0.029,0.029,0.029,0.107,0.107,0.107,0.107,0.107,
09/06/2009,3000.000,0.000,0.054,0.054,0.054,0.054,0.054,0.029,0.029,0.029,0.029,0.029,0.107,0.107,0.107,0.107,0.107,
10/06/2009,3000.000,0.000,0.054,0.054,0.054,0.054,0.054,0.029,0.029,0.029,0.029,0.029,0.107,0.107,0.107,0.107,0.107,
11/06/2009,3000.000,0.000,0.054,0.054,0.054,0.054,0.054,0.029,0.029,0.029,0.029,0.029,0.107,0.107,0.107,0.107,0.107,
12/06/2009,3000.000,0.000,0.054,0.054,0.054,0.054,0.054,0.029,0.029,0.029,0.029,0.029,0.107,0.107,0.107,0.107,0.107,
13/06/2009,3000.000,0.000,0.054,0.054,0.054,0.054,0.054,0.029,0.029,0.029,0.029,0.029,0.107,0.107,0.107,0.107,0.107,
