ApsimVersion = 7.7
Title = swcon_Taupo971
           Date           rain             es    sw(6-10)(1)    sw(6-10)(2)    sw(6-10)(3)    sw(6-10)(4)    sw(6-10)(5)   dul(6-10)(1)   dul(6-10)(2)   dul(6-10)(3)   dul(6-10)(4)   dul(6-10)(5)   sat(6-10)(1)   sat(6-10)(2)   sat(6-10)(3)   sat(6-10)(4)   sat(6-10)(5)
   (dd/mm/yyyy)           (mm)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)
     01/06/2009          0.000          0.584          0.212          0.212          0.212          0.212          0.212          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     02/06/2009       3000.000          0.000          0.300          0.251          0.213          0.212          0.212          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     03/06/2009       3000.000          0.000          0.371          0.370          0.322          0.284          0.218          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     04/06/2009       3000.000          0.000          0.373          0.373          0.373          0.374          0.339          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     05/06/2009       3000.000          0.000          0.373          0.373          0.373          0.373          0.374          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     06/06/2009       3000.000          0.000          0.373          0.373          0.373          0.373          0.373          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     07/06/2009       3000.000          0.000          0.373          0.373          0.373          0.373          0.373          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     08/06/2009       3000.000          0.000          0.373          0.373          0.373          0.373          0.373          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     09/06/2009       3000.000          0.000          0.373          0.373          0.373          0.373          0.373          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     10/06/2009       3000.000          0.000          0.373          0.373          0.373          0.373          0.373          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     11/06/2009       3000.000          0.000          0.373          0.373          0.373          0.373          0.373          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     12/06/2009       3000.000          0.000          0.373          0.373          0.373          0.373          0.373          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     13/06/2009       3000.000          0.000          0.373          0.373          0.373          0.373          0.373          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     14/06/2009       3000.000          0.000          0.373          0.373          0.373          0.373          0.373          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     15/06/2009       3000.000          0.000          0.373          0.373          0.373          0.373          0.373          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     16/06/2009          0.000          0.000          0.331          0.335          0.344          0.346          0.352          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     17/06/2009          0.000          0.000          0.311          0.314          0.324          0.327          0.333          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     18/06/2009          0.000          0.000          0.299          0.302          0.312          0.314          0.321          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     19/06/2009          0.000          0.000          0.291          0.294          0.303          0.306          0.313          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     20/06/2009          0.000          0.000          0.285          0.287          0.297          0.299          0.306          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     21/06/2009          0.000          0.000          0.280          0.282          0.292          0.294          0.301          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     22/06/2009          0.000          0.000          0.276          0.278          0.287          0.289          0.296          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     23/06/2009          0.000          0.000          0.272          0.274          0.284          0.285          0.292          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     24/06/2009          0.000          0.000          0.269          0.271          0.280          0.282          0.289          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     25/06/2009          0.000          0.000          0.266          0.268          0.277          0.279          0.286          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     26/06/2009          0.000          0.000          0.264          0.266          0.275          0.276          0.283          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     27/06/2009          0.000          0.000          0.261          0.263          0.272          0.274          0.281          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     28/06/2009          0.000          0.000          0.259          0.261          0.270          0.272          0.278          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     29/06/2009          0.000          0.000          0.257          0.259          0.268          0.270          0.276          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     30/06/2009          0.000          0.000          0.256          0.258          0.266          0.268          0.274          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     01/07/2009          0.000          0.000          0.254          0.256          0.264          0.266          0.272          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     02/07/2009          0.000          0.000          0.253          0.254          0.263          0.264          0.271          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     03/07/2009          0.000          0.000          0.251          0.253          0.261          0.263          0.269          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     04/07/2009          0.000          0.000          0.250          0.252          0.260          0.261          0.268          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     05/07/2009          0.000          0.000          0.249          0.251          0.259          0.260          0.266          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     06/07/2009          0.000          0.000          0.248          0.249          0.257          0.259          0.265          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     07/07/2009          0.000          0.000          0.246          0.248          0.256          0.257          0.264          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     08/07/2009          0.000          0.000          0.245          0.247          0.255          0.256          0.262          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     09/07/2009          0.000          0.000          0.244          0.246          0.254          0.255          0.261          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
     10/07/2009          0.000          0.000          0.243          0.245          0.253          0.254          0.260          0.212          0.212          0.212          0.212          0.212          0.545          0.545          0.545          0.545          0.545
