ApsimVersion = 7.7
Title = swcon_TeToka81
           Date           rain             es    sw(6-10)(1)    sw(6-10)(2)    sw(6-10)(3)    sw(6-10)(4)    sw(6-10)(5)   dul(6-10)(1)   dul(6-10)(2)   dul(6-10)(3)   dul(6-10)(4)   dul(6-10)(5)   sat(6-10)(1)   sat(6-10)(2)   sat(6-10)(3)   sat(6-10)(4)   sat(6-10)(5)
   (dd/mm/yyyy)           (mm)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)
     01/06/2009          0.000          0.584          0.437          0.437          0.437          0.437          0.437          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     02/06/2009       3000.000          0.000          0.539          0.512          0.447          0.438          0.437          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     03/06/2009       3000.000          0.000          0.554          0.554          0.553          0.553          0.514          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     04/06/2009       3000.000          0.000          0.554          0.554          0.554          0.554          0.554          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     05/06/2009       3000.000          0.000          0.554          0.554          0.554          0.554          0.554          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     06/06/2009       3000.000          0.000          0.554          0.554          0.554          0.554          0.554          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     07/06/2009       3000.000          0.000          0.554          0.554          0.554          0.554          0.554          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     08/06/2009       3000.000          0.000          0.554          0.554          0.554          0.554          0.554          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     09/06/2009       3000.000          0.000          0.554          0.554          0.554          0.554          0.554          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     10/06/2009       3000.000          0.000          0.554          0.554          0.554          0.554          0.554          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     11/06/2009       3000.000          0.000          0.554          0.554          0.554          0.554          0.554          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     12/06/2009       3000.000          0.000          0.554          0.554          0.554          0.554          0.554          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     13/06/2009       3000.000          0.000          0.554          0.554          0.554          0.554          0.554          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     14/06/2009       3000.000          0.000          0.554          0.554          0.554          0.554          0.554          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     15/06/2009       3000.000          0.000          0.554          0.554          0.554          0.554          0.554          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     16/06/2009          0.000          0.000          0.525          0.528          0.532          0.534          0.536          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     17/06/2009          0.000          0.000          0.514          0.517          0.522          0.523          0.527          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     18/06/2009          0.000          0.000          0.507          0.510          0.515          0.517          0.520          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     19/06/2009          0.000          0.000          0.503          0.505          0.510          0.512          0.516          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     20/06/2009          0.000          0.000          0.499          0.501          0.507          0.508          0.512          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     21/06/2009          0.000          0.000          0.495          0.497          0.503          0.505          0.509          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     22/06/2009          0.000          0.000          0.492          0.494          0.501          0.502          0.506          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     23/06/2009          0.000          0.000          0.490          0.492          0.498          0.500          0.504          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     24/06/2009          0.000          0.000          0.488          0.489          0.496          0.497          0.502          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     25/06/2009          0.000          0.000          0.486          0.487          0.494          0.495          0.500          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     26/06/2009          0.000          0.000          0.484          0.485          0.492          0.493          0.498          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     27/06/2009          0.000          0.000          0.482          0.484          0.491          0.492          0.496          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     28/06/2009          0.000          0.000          0.480          0.482          0.489          0.490          0.495          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     29/06/2009          0.000          0.000          0.479          0.481          0.487          0.489          0.494          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
     30/06/2009          0.000          0.000          0.477          0.479          0.486          0.487          0.492          0.437          0.437          0.437          0.437          0.437          0.605          0.605          0.605          0.605          0.605
