ApsimVersion = 7.7
Title = swcon_Turangi401
Date,rain,es,sw(6-10)(1),sw(6-10)(2),sw(6-10)(3),sw(6-10)(4),sw(6-10)(5),dul(6-10)(1),dul(6-10)(2),dul(6-10)(3),dul(6-10)(4),dul(6-10)(5),sat(6-10)(1),sat(6-10)(2),sat(6-10)(3),sat(6-10)(4),sat(6-10)(5),
(dd/mm/yyyy),(mm),(mm),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),
01/06/2009,0.000,0.584,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
02/06/2009,3000.000,0.000,0.306,0.263,0.216,0.214,0.214,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
03/06/2009,3000.000,0.000,0.364,0.365,0.331,0.306,0.231,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
04/06/2009,3000.000,0.000,0.364,0.364,0.365,0.366,0.347,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
05/06/2009,3000.000,0.000,0.364,0.364,0.364,0.364,0.364,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
06/06/2009,3000.000,0.000,0.364,0.364,0.364,0.364,0.364,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
07/06/2009,3000.000,0.000,0.364,0.364,0.364,0.364,0.364,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
08/06/2009,3000.000,0.000,0.364,0.364,0.364,0.364,0.364,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
09/06/2009,3000.000,0.000,0.364,0.364,0.364,0.364,0.364,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
10/06/2009,3000.000,0.000,0.364,0.364,0.364,0.364,0.364,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
11/06/2009,3000.000,0.000,0.364,0.364,0.364,0.364,0.364,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
12/06/2009,3000.000,0.000,0.364,0.364,0.364,0.364,0.364,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
13/06/2009,3000.000,0.000,0.364,0.364,0.364,0.364,0.364,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
14/06/2009,3000.000,0.000,0.364,0.364,0.364,0.364,0.364,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
15/06/2009,3000.000,0.000,0.364,0.364,0.364,0.364,0.364,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
16/06/2009,0.000,0.000,0.323,0.327,0.335,0.338,0.343,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
17/06/2009,0.000,0.000,0.305,0.308,0.317,0.319,0.326,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
18/06/2009,0.000,0.000,0.294,0.297,0.306,0.308,0.314,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
19/06/2009,0.000,0.000,0.286,0.289,0.298,0.300,0.306,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
20/06/2009,0.000,0.000,0.281,0.283,0.292,0.294,0.300,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
21/06/2009,0.000,0.000,0.276,0.278,0.287,0.289,0.295,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
22/06/2009,0.000,0.000,0.272,0.275,0.283,0.285,0.291,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
23/06/2009,0.000,0.000,0.269,0.271,0.280,0.281,0.288,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
24/06/2009,0.000,0.000,0.266,0.268,0.277,0.278,0.284,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
25/06/2009,0.000,0.000,0.263,0.265,0.274,0.275,0.282,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
26/06/2009,0.000,0.000,0.261,0.263,0.271,0.273,0.279,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
27/06/2009,0.000,0.000,0.259,0.261,0.269,0.271,0.277,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
28/06/2009,0.000,0.000,0.257,0.259,0.267,0.269,0.275,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
29/06/2009,0.000,0.000,0.255,0.257,0.265,0.267,0.273,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
30/06/2009,0.000,0.000,0.254,0.256,0.264,0.265,0.271,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
01/07/2009,0.000,0.000,0.252,0.254,0.262,0.263,0.269,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
02/07/2009,0.000,0.000,0.251,0.253,0.260,0.262,0.268,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
03/07/2009,0.000,0.000,0.250,0.251,0.259,0.260,0.266,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
04/07/2009,0.000,0.000,0.248,0.250,0.258,0.259,0.265,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
05/07/2009,0.000,0.000,0.247,0.249,0.256,0.258,0.264,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
06/07/2009,0.000,0.000,0.246,0.248,0.255,0.257,0.262,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
07/07/2009,0.000,0.000,0.245,0.247,0.254,0.255,0.261,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
08/07/2009,0.000,0.000,0.244,0.246,0.253,0.254,0.260,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
09/07/2009,0.000,0.000,0.243,0.245,0.252,0.253,0.259,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
10/07/2009,0.000,0.000,0.242,0.244,0.251,0.252,0.258,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
11/07/2009,0.000,0.000,0.241,0.243,0.250,0.251,0.257,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
12/07/2009,0.000,0.000,0.241,0.242,0.249,0.251,0.256,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
13/07/2009,0.000,0.000,0.240,0.241,0.249,0.250,0.255,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
14/07/2009,0.000,0.000,0.239,0.241,0.248,0.249,0.254,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
15/07/2009,0.000,0.000,0.238,0.240,0.247,0.248,0.254,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
16/07/2009,0.000,0.000,0.238,0.239,0.246,0.247,0.253,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
17/07/2009,0.000,0.000,0.237,0.238,0.245,0.247,0.252,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
18/07/2009,0.000,0.000,0.236,0.238,0.245,0.246,0.251,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
19/07/2009,0.000,0.000,0.236,0.237,0.244,0.245,0.251,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
20/07/2009,0.000,0.000,0.235,0.236,0.243,0.245,0.250,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
21/07/2009,0.000,0.000,0.234,0.236,0.243,0.244,0.249,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
22/07/2009,0.000,0.000,0.234,0.235,0.242,0.243,0.249,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
23/07/2009,0.000,0.000,0.233,0.235,0.242,0.243,0.248,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
24/07/2009,0.000,0.000,0.233,0.234,0.241,0.242,0.247,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
25/07/2009,0.000,0.000,0.232,0.234,0.240,0.242,0.247,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
26/07/2009,0.000,0.000,0.232,0.233,0.240,0.241,0.246,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
27/07/2009,0.000,0.000,0.231,0.233,0.239,0.240,0.246,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
28/07/2009,0.000,0.000,0.231,0.232,0.239,0.240,0.245,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
29/07/2009,0.000,0.000,0.230,0.232,0.238,0.239,0.245,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
30/07/2009,0.000,0.000,0.230,0.231,0.238,0.239,0.244,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
31/07/2009,0.000,0.000,0.229,0.231,0.237,0.238,0.244,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
01/08/2009,0.000,0.000,0.229,0.230,0.237,0.238,0.243,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
02/08/2009,0.000,0.000,0.228,0.230,0.236,0.237,0.243,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
03/08/2009,0.000,0.000,0.228,0.229,0.236,0.237,0.242,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
04/08/2009,0.000,0.000,0.228,0.229,0.235,0.237,0.242,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
05/08/2009,0.000,0.000,0.227,0.229,0.235,0.236,0.241,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
06/08/2009,0.000,0.000,0.227,0.228,0.235,0.236,0.241,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
07/08/2009,0.000,0.000,0.227,0.228,0.234,0.235,0.240,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
08/08/2009,0.000,0.000,0.226,0.228,0.234,0.235,0.240,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
09/08/2009,0.000,0.000,0.226,0.227,0.233,0.234,0.239,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
10/08/2009,0.000,0.000,0.225,0.227,0.233,0.234,0.239,0.214,0.214,0.214,0.214,0.214,0.547,0.547,0.547,0.547,0.547,
