ApsimVersion = 7.7
Title = swcon_Waikuku271
Date,rain,es,sw(6-10)(1),sw(6-10)(2),sw(6-10)(3),sw(6-10)(4),sw(6-10)(5),dul(6-10)(1),dul(6-10)(2),dul(6-10)(3),dul(6-10)(4),dul(6-10)(5),sat(6-10)(1),sat(6-10)(2),sat(6-10)(3),sat(6-10)(4),sat(6-10)(5),
(dd/mm/yyyy),(mm),(mm),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),(cm^3/cm^3),
01/06/2009,0.000,0.584,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.435,0.435,0.435,0.435,0.435,
02/06/2009,3000.000,0.000,0.247,0.238,0.186,0.156,0.150,0.150,0.150,0.150,0.150,0.150,0.435,0.435,0.435,0.435,0.435,
03/06/2009,3000.000,0.000,0.257,0.257,0.257,0.257,0.238,0.150,0.150,0.150,0.150,0.150,0.435,0.435,0.435,0.435,0.435,
04/06/2009,3000.000,0.000,0.257,0.257,0.257,0.257,0.257,0.150,0.150,0.150,0.150,0.150,0.435,0.435,0.435,0.435,0.435,
05/06/2009,3000.000,0.000,0.257,0.257,0.257,0.257,0.257,0.150,0.150,0.150,0.150,0.150,0.435,0.435,0.435,0.435,0.435,
06/06/2009,3000.000,0.000,0.257,0.257,0.257,0.257,0.257,0.150,0.150,0.150,0.150,0.150,0.435,0.435,0.435,0.435,0.435,
07/06/2009,3000.000,0.000,0.257,0.257,0.257,0.257,0.257,0.150,0.150,0.150,0.150,0.150,0.435,0.435,0.435,0.435,0.435,
08/06/2009,3000.000,0.000,0.257,0.257,0.257,0.257,0.257,0.150,0.150,0.150,0.150,0.150,0.435,0.435,0.435,0.435,0.435,
09/06/2009,3000.000,0.000,0.257,0.257,0.257,0.257,0.257,0.150,0.150,0.150,0.150,0.150,0.435,0.435,0.435,0.435,0.435,
